               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,  train/topleft_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,    val/topleft_loss,               x/lr0,               x/lr1,               x/lr2
                  94,            0.037697,            0.020378,           0.0070056,            0.094015,            0.024898,             0.95358,             0.89968,             0.95854,             0.59489,            0.026765,            0.016439,           0.0047442,            0.093483,            0.021172,           0.0093363,           0.0093363,           0.0093363
                  95,            0.037715,            0.020057,           0.0063929,            0.093163,            0.024935,             0.93994,             0.90262,             0.95212,             0.58312,            0.026789,            0.016476,            0.004158,            0.093082,             0.02041,           0.0093224,           0.0093224,           0.0093224
                  96,             0.03772,            0.020582,           0.0068977,            0.093668,            0.024647,             0.94142,             0.88103,             0.94259,             0.58089,            0.026974,            0.016442,           0.0044353,            0.093433,             0.02132,           0.0093083,           0.0093083,           0.0093083
                  97,            0.037116,            0.020108,           0.0063389,            0.092409,            0.024613,             0.92411,             0.91395,             0.94594,             0.58084,            0.026963,            0.016425,           0.0043949,            0.092471,            0.021272,           0.0092941,           0.0092941,           0.0092941
                  98,            0.038093,            0.020311,           0.0067483,            0.093261,            0.024516,             0.94657,              0.9017,             0.95171,             0.59066,            0.026946,            0.016326,           0.0035715,            0.092905,            0.020853,           0.0092798,           0.0092798,           0.0092798
                  99,            0.037534,            0.020024,           0.0062011,             0.09246,            0.024248,             0.93068,             0.91342,             0.95093,             0.59269,             0.02699,            0.016174,           0.0036535,            0.093359,            0.020294,           0.0092654,           0.0092654,           0.0092654
                 100,            0.037011,            0.020105,           0.0060339,             0.09221,            0.024608,             0.94633,             0.91086,             0.95417,             0.59602,            0.026689,            0.016205,           0.0038947,            0.092519,            0.020121,           0.0092508,           0.0092508,           0.0092508
                 101,            0.037376,            0.019959,            0.006473,            0.092342,            0.024052,             0.93029,             0.91102,             0.95134,             0.59257,            0.026497,            0.016258,           0.0040222,            0.091654,            0.020964,           0.0092361,           0.0092361,           0.0092361
                 102,            0.036815,            0.020028,           0.0062522,            0.091522,            0.023731,             0.92415,             0.91418,             0.94614,             0.59436,            0.026632,            0.016211,           0.0039663,            0.091035,            0.020623,           0.0092212,           0.0092212,           0.0092212
                 103,            0.037412,            0.019678,           0.0060741,            0.092925,            0.024423,             0.93891,              0.9217,             0.95915,             0.60523,            0.026316,            0.016131,           0.0039746,            0.092141,            0.020214,           0.0092063,           0.0092063,           0.0092063
